Year,ERA5,JRA-55,BerkeleyEarth,GISTEMP,HadCRUT5,NOAAGlobalTemp,t
1850,-999.000,-999.000,-0.116,-999.000,-0.085,-999.000,
1851,-999.000,-999.000,-0.021,-999.000,0.106,-999.000,
1852,-999.000,-999.000,0.016,-999.000,0.103,-999.000,
1853,-999.000,-999.000,-0.001,-999.000,0.070,-999.000,
1854,-999.000,-999.000,-0.008,-999.000,0.051,-999.000,
1855,-999.000,-999.000,0.006,-999.000,0.046,-999.000,
1856,-999.000,-999.000,-0.117,-999.000,0.017,-999.000,
1857,-999.000,-999.000,-0.247,-999.000,-0.133,-999.000,
1858,-999.000,-999.000,-0.065,-999.000,-0.055,-999.000,
1859,-999.000,-999.000,0.043,-999.000,0.055,-999.000,
1860,-999.000,-999.000,-0.101,-999.000,-0.052,-999.000,
1861,-999.000,-999.000,-0.170,-999.000,-0.089,-999.000,
1862,-999.000,-999.000,-0.258,-999.000,-0.204,-999.000,
1863,-999.000,-999.000,-0.077,-999.000,-0.010,-999.000,
1864,-999.000,-999.000,-0.082,-999.000,-0.134,-999.000,
1865,-999.000,-999.000,0.013,-999.000,0.002,-999.000,
1866,-999.000,-999.000,0.072,-999.000,-0.015,-999.000,
1867,-999.000,-999.000,0.104,-999.000,-0.029,-999.000,
1868,-999.000,-999.000,0.077,-999.000,-0.012,-999.000,
1869,-999.000,-999.000,0.057,-999.000,0.022,-999.000,
1870,-999.000,-999.000,-0.004,-999.000,0.009,-999.000,
1871,-999.000,-999.000,-0.052,-999.000,-0.028,-999.000,
1872,-999.000,-999.000,-0.015,-999.000,0.007,-999.000,
1873,-999.000,-999.000,0.006,-999.000,-0.007,-999.000,
1874,-999.000,-999.000,-0.059,-999.000,-0.037,-999.000,
1875,-999.000,-999.000,-0.066,-999.000,-0.048,-999.000,
1876,-999.000,-999.000,-0.087,-999.000,-0.087,-999.000,
1877,-999.000,-999.000,0.298,-999.000,0.233,-999.000,
1878,-999.000,-999.000,0.356,-999.000,0.331,-999.000,
1879,-999.000,-999.000,0.038,-999.000,0.030,-999.000,
1880,-999.000,-999.000,-0.037,0.097,0.019,0.148,
1881,-999.000,-999.000,0.072,0.185,0.100,0.185,
1882,-999.000,-999.000,0.021,0.160,0.034,0.171,
1883,-999.000,-999.000,-0.030,0.098,-0.014,0.090,
1884,-999.000,-999.000,-0.199,-0.013,-0.164,0.002,
1885,-999.000,-999.000,-0.165,-0.061,-0.137,0.019,
1886,-999.000,-999.000,-0.195,-0.039,-0.087,0.028,
1887,-999.000,-999.000,-0.231,-0.088,-0.163,-0.015,
1888,-999.000,-999.000,-0.027,0.101,-0.043,0.141,
1889,-999.000,-999.000,0.092,0.165,0.085,0.185,
1890,-999.000,-999.000,-0.196,-0.077,-0.172,-0.069,
1891,-999.000,-999.000,-0.075,0.052,-0.063,0.020,
1892,-999.000,-999.000,-0.143,-0.002,-0.179,-0.029,
1893,-999.000,-999.000,-0.121,-0.038,-0.160,-0.052,
1894,-999.000,-999.000,-0.115,-0.025,-0.146,-0.040,
1895,-999.000,-999.000,-0.042,0.049,-0.113,0.030,
1896,-999.000,-999.000,0.049,0.163,0.053,0.177,
1897,-999.000,-999.000,0.062,0.167,0.077,0.174,
1898,-999.000,-999.000,-0.149,0.001,-0.147,-0.001,
1899,-999.000,-999.000,0.021,0.100,-0.018,0.116,
1900,-999.000,-999.000,0.128,0.195,0.104,0.197,
1901,-999.000,-999.000,0.049,0.120,0.047,0.115,
1902,-999.000,-999.000,-0.109,-0.000,-0.108,0.008,
1903,-999.000,-999.000,-0.211,-0.093,-0.199,-0.106,
1904,-999.000,-999.000,-0.263,-0.191,-0.261,-0.181,
1905,-999.000,-999.000,-0.082,0.017,-0.071,-0.004,
1906,-999.000,-999.000,-0.003,0.053,0.021,0.062,
1907,-999.000,-999.000,-0.161,-0.110,-0.170,-0.109,
1908,-999.000,-999.000,-0.195,-0.151,-0.177,-0.160,
1909,-999.000,-999.000,-0.262,-0.210,-0.198,-0.173,
1910,-999.000,-999.000,-0.222,-0.156,-0.193,-0.134,
1911,-999.000,-999.000,-0.228,-0.165,-0.196,-0.174,
1912,-999.000,-999.000,-0.155,-0.087,-0.146,-0.073,
1913,-999.000,-999.000,-0.132,-0.070,-0.133,-0.052,
1914,-999.000,-999.000,0.050,0.122,0.071,0.124,
1915,-999.000,-999.000,0.108,0.131,0.144,0.170,
1916,-999.000,-999.000,-0.121,-0.086,-0.090,-0.059,
1917,-999.000,-999.000,-0.270,-0.187,-0.216,-0.132,
1918,-999.000,-999.000,-0.097,-0.022,-0.099,-0.040,
1919,-999.000,-999.000,-0.047,-0.005,-0.002,0.013,
1920,-999.000,-999.000,0.019,0.001,0.035,0.033,
1921,-999.000,-999.000,0.070,0.086,0.103,0.103,
1922,-999.000,-999.000,-0.019,-0.008,-0.001,0.019,
1923,-999.000,-999.000,0.017,0.009,0.023,0.014,
1924,-999.000,-999.000,0.004,-0.001,0.034,0.021,
1925,-999.000,-999.000,0.051,0.052,0.065,0.086,
1926,-999.000,-999.000,0.183,0.164,0.222,0.188,
1927,-999.000,-999.000,0.069,0.054,0.115,0.091,
1928,-999.000,-999.000,0.079,0.074,0.139,0.085,
1929,-999.000,-999.000,-0.095,-0.086,-0.051,-0.060,
1930,-999.000,-999.000,0.128,0.118,0.175,0.157,
1931,-999.000,-999.000,0.186,0.180,0.249,0.205,
1932,-999.000,-999.000,0.142,0.115,0.199,0.137,
1933,-999.000,-999.000,-0.043,-0.014,0.018,0.007,
1934,-999.000,-999.000,0.099,0.146,0.171,0.155,
1935,-999.000,-999.000,0.038,0.069,0.138,0.107,
1936,-999.000,-999.000,0.108,0.124,0.174,0.148,
1937,-999.000,-999.000,0.265,0.244,0.327,0.255,
1938,-999.000,-999.000,0.267,0.270,0.337,0.246,
1939,-999.000,-999.000,0.253,0.256,0.309,0.277,
1940,0.194,-999.000,0.343,0.398,0.419,0.424,
1941,0.238,-999.000,0.294,0.457,0.379,0.538,
1942,0.148,-999.000,0.308,0.341,0.348,0.375,
1943,0.153,-999.000,0.359,0.362,0.364,0.372,
1944,0.345,-999.000,0.469,0.476,0.497,0.545,
1945,0.206,-999.000,0.343,0.362,0.390,0.446,
1946,0.208,-999.000,0.178,0.199,0.232,0.257,
1947,0.253,-999.000,0.240,0.247,0.257,0.234,
1948,0.192,-999.000,0.142,0.168,0.223,0.215,
1949,0.225,-999.000,0.139,0.163,0.199,0.196,
1950,0.114,-999.000,0.068,0.099,0.112,0.116,
1951,0.248,-999.000,0.241,0.205,0.289,0.269,
1952,0.229,-999.000,0.319,0.281,0.356,0.309,
1953,0.307,-999.000,0.389,0.351,0.425,0.395,
1954,0.110,-999.000,0.196,0.139,0.226,0.166,
1955,0.093,-999.000,0.133,0.131,0.145,0.138,
1956,0.032,-999.000,0.051,0.082,0.070,0.084,
1957,0.281,-999.000,0.280,0.320,0.299,0.338,
1958,0.347,0.418,0.285,0.332,0.320,0.390,
1959,0.312,0.352,0.269,0.302,0.290,0.347,
1960,0.267,0.333,0.210,0.245,0.223,0.315,
1961,0.342,0.357,0.285,0.328,0.313,0.361,
1962,0.282,0.343,0.228,0.301,0.272,0.372,
1963,0.319,0.345,0.271,0.326,0.299,0.384,
1964,0.107,0.149,0.006,0.071,0.030,0.123,
1965,0.170,0.221,0.126,0.165,0.131,0.196,
1966,0.247,0.253,0.186,0.214,0.188,0.255,
1967,0.263,0.252,0.219,0.250,0.221,0.264,
1968,0.199,0.222,0.141,0.189,0.167,0.238,
1969,0.330,0.372,0.290,0.324,0.303,0.371,
1970,0.303,0.328,0.240,0.294,0.248,0.320,
1971,0.150,0.204,0.122,0.188,0.129,0.200,
1972,0.286,0.315,0.233,0.279,0.239,0.303,
1973,0.387,0.411,0.368,0.432,0.383,0.458,
1974,0.113,0.145,0.165,0.202,0.162,0.204,
1975,0.136,0.204,0.228,0.258,0.223,0.278,
1976,0.068,0.096,0.133,0.171,0.117,0.197,
1977,0.354,0.373,0.462,0.447,0.437,0.476,
1978,0.295,0.311,0.335,0.338,0.338,0.381,
1979,0.453,0.430,0.413,0.437,0.427,0.493,
1980,0.582,0.553,0.533,0.526,0.530,0.544,
1981,0.616,0.593,0.584,0.593,0.584,0.588,
1982,0.416,0.406,0.369,0.413,0.368,0.458,
1983,0.610,0.588,0.548,0.585,0.557,0.623,
1984,0.399,0.401,0.381,0.429,0.383,0.433,
1985,0.359,0.371,0.379,0.391,0.385,0.424,
1986,0.446,0.468,0.431,0.450,0.429,0.501,
1987,0.602,0.607,0.571,0.590,0.577,0.648,
1988,0.635,0.634,0.617,0.660,0.617,0.658,
1989,0.516,0.525,0.502,0.543,0.514,0.559,
1990,0.749,0.714,0.690,0.717,0.696,0.713,
1991,0.692,0.668,0.676,0.672,0.673,0.653,
1992,0.460,0.476,0.468,0.489,0.458,0.500,
1993,0.506,0.513,0.524,0.500,0.500,0.545,
1994,0.544,0.584,0.576,0.585,0.570,0.609,
1995,0.718,0.754,0.730,0.712,0.710,0.731,
1996,0.590,0.625,0.619,0.595,0.610,0.587,
1997,0.713,0.739,0.761,0.729,0.758,0.778,
1998,0.900,0.933,0.909,0.874,0.912,0.914,
1999,0.631,0.686,0.667,0.649,0.658,0.701,
2000,0.629,0.687,0.668,0.658,0.665,0.686,
2001,0.795,0.820,0.804,0.803,0.825,0.833,
2002,0.886,0.923,0.896,0.894,0.878,0.882,
2003,0.872,0.878,0.878,0.887,0.881,0.903,
2004,0.808,0.786,0.789,0.800,0.802,0.844,
2005,0.974,0.965,0.956,0.946,0.943,0.931,
2006,0.922,0.916,0.905,0.904,0.907,0.898,
2007,0.916,0.910,0.919,0.934,0.927,0.881,
2008,0.785,0.768,0.793,0.811,0.802,0.805,
2009,0.915,0.906,0.929,0.923,0.932,0.906,
2010,1.009,0.983,0.996,0.991,1.015,0.984,
2011,0.869,0.868,0.889,0.879,0.873,0.837,
2012,0.920,0.910,0.908,0.917,0.913,0.898,
2013,0.947,0.948,0.927,0.945,0.959,0.935,
2014,0.988,0.990,0.999,1.016,1.010,1.005,
2015,1.136,1.122,1.142,1.167,1.161,1.192,
2016,1.318,1.305,1.278,1.282,1.267,1.256,
2017,1.223,1.170,1.182,1.188,1.180,1.170,
2018,1.144,1.087,1.107,1.116,1.098,1.086,
2019,1.280,1.244,1.240,1.247,1.227,1.210,
2020,1.310,1.237,1.264,1.288,1.257,1.242,
2021,1.155,1.087,1.114,1.117,1.099,1.107,
2022,1.181,0,0,0,0,0,
2023,1.43,0,0,0,0,0,